Model,Source,Target,FID,L1
pix2pix,back,back,0.01688276939178161,0.0007940228
pix2pix,left,back,5.747903352927187,0.04612582
pix2pix,front,back,2.869630332210493,0.03498135
pix2pix,right,back,5.94660406031262,0.04680165
pix2pix,back,left,3.0065832022574512,0.04947525
pix2pix,left,left,0.0033620266078594804,0.0006847441
pix2pix,front,left,2.316424521584666,0.042933993
pix2pix,right,left,0.8424802015572408,0.018077249
pix2pix,back,front,3.8619654705921396,0.04344673
pix2pix,left,front,4.495024124927246,0.04823579
pix2pix,front,front,0.0072306927041331966,0.000819337
pix2pix,right,front,4.807605624631186,0.048438445
pix2pix,back,right,3.4421118618485234,0.048715
pix2pix,left,right,0.7734155623663146,0.017795209
pix2pix,front,right,2.529167709076113,0.043011688
pix2pix,right,right,0.005906504254281015,0.00061204826
stargan,back,back,0.9157227161399459,0.012238553
stargan,left,back,10.002103528091748,0.079304606
stargan,front,back,6.919460741453052,0.0610275
stargan,right,back,9.644608019358792,0.07913772
stargan,back,left,3.168781946048454,0.081398785
stargan,left,left,0.33658267871282993,0.01229265
stargan,front,left,3.1892791954604327,0.07324594
stargan,right,left,3.056036756529689,0.049974564
stargan,back,front,4.829327233910867,0.07200273
stargan,left,front,7.2680773331465165,0.08531327
stargan,front,front,0.6740385279039882,0.015400572
stargan,right,front,6.696151258352897,0.084472746
stargan,back,right,3.1114255123448533,0.08008108
stargan,left,right,3.288159478587422,0.0498124
stargan,front,right,3.2887256279593675,0.073478594
stargan,right,right,0.3542793586493856,0.012363025
collagan,back,back,23.782510186104133,0.07478598
collagan,left,back,19.32489871217488,0.1051572
collagan,front,back,13.88917162751865,0.08666419
collagan,right,back,23.252281970609786,0.10617152
collagan,back,left,9.437067077570696,0.091941684
collagan,left,left,13.56043351105673,0.056978434
collagan,front,left,12.860038586346704,0.08455712
collagan,right,left,11.83590159684091,0.06621222
collagan,back,front,17.56716902315501,0.08814657
collagan,left,front,21.501964894500986,0.0980087
collagan,front,front,19.661105181609713,0.06685163
collagan,right,front,27.739241368870587,0.10023849
collagan,back,right,13.023023585437969,0.09205483
collagan,left,right,14.380868602513257,0.06427663
collagan,front,right,13.412547776057574,0.0827601
collagan,right,right,10.30330963776698,0.06130973
